service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2_124018,1,1,1,1,1,0,0,20260513,20991231
2_124019,1,1,1,1,1,0,0,20260513,20991231
2_124066,1,1,1,1,1,0,0,20260601,20991231
2_124067,1,1,1,1,1,0,0,20260601,20991231
2_124068,1,1,1,1,1,0,0,20260601,20991231
2_124069,1,1,1,1,1,0,0,20260601,20991231
2_124070,1,1,1,1,1,0,0,20260601,20991231
2_124071,1,1,1,1,1,0,0,20260601,20991231
2_124072,1,1,1,1,1,0,0,20260601,20991231
2_124073,1,1,1,1,1,0,0,20260601,20991231
2_124074,1,1,1,1,1,0,0,20260601,20991231
2_124075,1,1,1,1,1,0,0,20260601,20991231
2_124076,1,1,1,1,1,0,0,20260601,20991231
2_124077,1,1,1,1,1,0,0,20260601,20991231
2_124078,1,1,1,1,1,0,0,20260601,20991231
2_124079,1,1,1,1,1,0,0,20260601,20991231
2_124080,1,1,1,1,1,0,0,20260601,20991231
2_124081,1,1,1,1,1,0,0,20260601,20991231
2_124082,1,1,1,1,1,0,0,20260601,20991231
2_124094,0,0,0,0,0,1,1,20260601,20991231
2_124095,0,0,0,0,0,1,1,20260601,20991231
2_124096,0,0,0,0,0,1,1,20260601,20991231
2_124097,0,0,0,0,0,1,1,20260601,20991231
2_124098,0,0,0,0,0,1,1,20260601,20991231
2_124099,0,0,0,0,0,1,1,20260601,20991231
2_124100,0,0,0,0,0,1,1,20260601,20991231
2_124101,0,0,0,0,0,1,1,20260601,20991231
2_124147,0,0,0,0,0,1,1,20260613,20991231
2_124148,0,0,0,0,0,1,1,20260613,20991231
2_124149,0,0,0,0,0,1,1,20260613,20991231
2_124150,0,0,0,0,0,1,1,20260613,20991231
2_124151,0,0,0,0,0,1,1,20260613,20991231
2_124160,0,0,0,0,0,1,1,20260627,20991231
2_124161,0,0,0,0,0,1,1,20260627,20991231
2_124162,0,0,0,0,0,1,1,20260627,20991231
2_124176,1,1,1,1,1,0,0,20260623,20991231
2_124177,1,1,1,1,1,0,0,20260623,20991231
2_124178,1,1,1,1,1,0,0,20260623,20991231
2_124179,1,1,1,1,1,0,0,20260623,20991231
2_124180,1,1,1,1,1,0,0,20260623,20991231
2_124181,1,1,1,1,1,0,0,20260623,20991231
2_124195,1,1,1,1,1,0,0,20260623,20991231
2_124196,1,1,1,1,1,0,0,20260623,20991231
2_124197,1,1,1,1,1,0,0,20260623,20991231
2_124198,1,1,1,1,1,0,0,20260623,20991231
2_124199,1,1,1,1,1,0,0,20260623,20991231
2_124200,1,1,1,1,1,0,0,20260623,20991231
2_124201,1,1,1,1,1,0,0,20260623,20991231
2_124202,1,1,1,1,1,0,0,20260623,20991231
2_124203,1,1,1,1,1,0,0,20260623,20991231
2_124204,1,1,1,1,1,0,0,20260623,20991231
2_124205,1,1,1,1,1,0,0,20260623,20991231
2_124206,1,1,1,1,1,0,0,20260623,20991231
2_124207,1,1,1,1,1,0,0,20260623,20991231
2_124208,1,1,1,1,1,0,0,20260623,20991231
2_124209,1,1,1,1,1,0,0,20260623,20991231
2_124210,1,1,1,1,1,0,0,20260623,20991231
2_124211,1,1,1,1,1,0,0,20260623,20991231
2_124212,1,1,1,1,1,0,0,20260623,20991231
2_124213,1,1,1,1,1,0,0,20260623,20991231
2_124214,1,1,1,1,1,0,0,20260623,20991231
2_124215,1,1,1,1,1,0,0,20260623,20991231
2_124216,1,1,1,1,1,0,0,20260623,20991231
2_124251,0,0,0,0,0,1,1,20260627,20991231
2_124252,0,0,0,0,0,1,1,20260627,20991231
2_124253,0,0,0,0,0,1,1,20260627,20991231
2_124254,0,0,0,0,0,1,1,20260627,20991231
2_124255,0,0,0,0,0,1,1,20260627,20991231
2_124256,0,0,0,0,0,1,1,20260627,20991231
2_124257,0,0,0,0,0,1,1,20260627,20991231
2_124258,0,0,0,0,0,1,1,20260627,20991231
